"Date","Mercury","Lead","Location"
2016-01-10,491.5,298.8,"Lake"
2016-01-11,523.6,315.1,"Lake"
2016-01-12,NA,NA,"Lake"
2016-01-13,596.2,263.9,"Lake"
2016-01-14,471.6,236.8,"Lake"
2016-01-15,NA,NA,"Lake"
2016-01-16,608.4,374.6,"Lake"
2016-01-17,465.3,490.7,"Lake"
2016-01-18,449.2,503.6,"Lake"
2016-01-19,631.4,504,"Lake"
2016-01-20,760.9,349.1,"Lake"
2016-01-21,661.7,382.4,"Lake"
2016-01-22,611.4,432.7,"Lake"
2016-01-23,NA,NA,"Lake"
2016-01-24,455.8,250.2,"Lake"
2016-01-25,542.6,423.5,"Lake"
2016-01-26,508.4,448.3,"Lake"
2016-01-27,558.2,528.1,"Lake"
2016-01-28,607.7,334.1,"Lake"
2016-01-29,564.7,558,"Lake"
2016-01-30,647.9,301.8,"Lake"
2016-01-31,NA,NA,"Lake"
2016-02-01,538.9,556,"Lake"
2016-02-02,484.1,422,"Lake"
2016-02-03,570.4,314.4,"Lake"
2016-02-04,648.6,342.9,"Lake"
2016-02-05,594.1,382.4,"Lake"
2016-02-06,539.1,377.6,"Lake"
2016-02-07,585.7,305.1,"Lake"
2016-02-08,657.4,502,"Lake"
2016-02-09,594.4,460.1,"Lake"
2016-02-10,566.8,245.1,"Lake"
2016-02-11,562.5,365.3,"Lake"
2016-02-12,NA,NA,"Lake"
2016-02-13,634.7,298.1,"Lake"
2016-02-14,NA,NA,"Lake"
2016-02-15,648.9,310.8,"Lake"
2016-02-16,534.2,300.7,"Lake"
2016-02-17,742.9,334.5,"Lake"
2016-02-18,651.4,548.8,"Lake"
2016-02-19,435.9,578.1,"Lake"
2016-02-20,659.1,442.2,"Lake"
2016-02-21,618.9,319.7,"Lake"
2016-02-22,591.4,304.7,"Lake"
2016-02-23,715.5,339.3,"Lake"
2016-02-24,NA,NA,"Lake"
2016-02-25,610.3,439.9,"Lake"
2016-02-26,NA,NA,"Lake"
2016-02-27,791.7,126.1,"Lake"
2016-02-28,NA,NA,"Lake"
2016-02-29,650,577.5,"Lake"
2016-03-01,563.2,499.8,"Lake"
2016-03-02,634.8,381.6,"Lake"
2016-03-03,NA,NA,"Lake"
2016-03-04,561.7,382.3,"Lake"
2016-03-05,556.6,392.7,"Lake"
2016-03-06,619.8,390.4,"Lake"
2016-03-07,896.3,312.6,"Lake"
2016-03-08,556.2,254.1,"Lake"
2016-03-09,529.5,250.9,"Lake"
2016-03-10,485.9,275.3,"Lake"
2016-03-11,441.6,360.1,"Lake"
2016-03-12,819.6,403.2,"Lake"
2016-03-13,NA,NA,"Lake"
2016-03-14,632,456.5,"Lake"
2016-03-15,545.3,415.5,"Lake"
2016-03-16,430.4,433,"Lake"
2016-03-17,NA,NA,"Lake"
