"Date","Mercury","Lead","Location"
2015-06-24,535.4,349.3,"Lake"
2015-06-25,637.2,402.9,"Lake"
2015-06-26,481.5,295,"Lake"
2015-06-27,548.8,371.9,"Lake"
2015-06-28,565.8,520.3,"Lake"
2015-06-29,368.6,286.7,"Lake"
2015-06-30,614.3,333.3,"Lake"
2015-07-01,553.2,322.2,"Lake"
2015-07-02,552.8,317.6,"Lake"
2015-07-03,568.2,299.5,"Lake"
2015-07-04,726.8,252.6,"Lake"
2015-07-05,638.4,211.2,"Lake"
2015-07-06,578.2,400,"Lake"
2015-07-07,385.9,432.1,"Lake"
2015-07-08,572.4,400.3,"Lake"
2015-07-09,488.4,387.7,"Lake"
2015-07-10,564.2,235.6,"Lake"
2015-07-11,594.5,462.8,"Lake"
2015-07-12,403.1,389.4,"Lake"
2015-07-13,356.9,476.2,"Lake"
2015-07-14,650.2,325.2,"Lake"
2015-07-15,581,221.7,"Lake"
2015-07-16,NA,NA,"Lake"
2015-07-17,581.3,239.9,"Lake"
2015-07-18,467.1,325.7,"Lake"
2015-07-19,704.7,480,"Lake"
2015-07-20,NA,NA,"Lake"
2015-07-21,441.4,303.9,"Lake"
2015-07-22,NA,NA,"Lake"
2015-07-23,684.1,265.9,"Lake"
2015-07-24,432.3,286.1,"Lake"
2015-07-25,542.2,426.4,"Lake"
2015-07-26,633.1,354.2,"Lake"
2015-07-27,563.3,347.3,"Lake"
2015-07-28,588.7,133.6,"Lake"
2015-07-29,658,433.6,"Lake"
2015-07-30,NA,NA,"Lake"
2015-07-31,460.3,172.9,"Lake"
2015-08-01,776.9,328.4,"Lake"
2015-08-02,480,339.4,"Lake"
2015-08-03,432.4,158.7,"Lake"
2015-08-04,493.9,238.7,"Lake"
2015-08-05,598.5,342.1,"Lake"
2015-08-06,357.1,293.4,"Lake"
2015-08-07,496.8,368.6,"Lake"
2015-08-08,581.6,187.5,"Lake"
2015-08-09,496.7,255.1,"Lake"
2015-08-10,632,509,"Lake"
2015-08-11,569.3,378,"Lake"
2015-08-12,492.7,219.6,"Lake"
2015-08-13,398.2,242.7,"Lake"
2015-08-14,NA,NA,"Lake"
2015-08-15,484.1,270,"Lake"
2015-08-16,NA,NA,"Lake"
2015-08-17,449.1,462.5,"Lake"
2015-08-18,NA,NA,"Lake"
2015-08-19,598.8,422.4,"Lake"
2015-08-20,507.6,274.4,"Lake"
2015-08-21,612.7,339.5,"Lake"
2015-08-22,481.6,172.6,"Lake"
2015-08-23,543.5,365.9,"Lake"
2015-08-24,NA,NA,"Lake"
2015-08-25,520.5,464,"Lake"
2015-08-26,444.2,326.8,"Lake"
2015-08-27,671.8,277.5,"Lake"
2015-08-28,539.5,344.7,"Lake"
2015-08-29,321.3,464.8,"Lake"
2015-08-30,540.8,371.6,"Lake"
2015-08-31,577.4,363.5,"Lake"
2015-09-01,716.7,357.5,"Lake"
2015-09-02,533.3,358.5,"Lake"
2015-09-03,628.4,356.2,"Lake"
2015-09-04,492.6,360.9,"Lake"
2015-09-05,518.7,214.8,"Lake"
2015-09-06,NA,NA,"Lake"
2015-09-07,483.6,382.4,"Lake"
2015-09-08,397.5,428.9,"Lake"
2015-09-09,486.2,544.7,"Lake"
2015-09-10,389.8,377.6,"Lake"
2015-09-11,510.9,292.4,"Lake"
2015-09-12,NA,NA,"Lake"
2015-09-13,539.8,320,"Lake"
2015-09-14,375.7,171.6,"Lake"
2015-09-15,554.3,316.8,"Lake"
2015-09-16,NA,NA,"Lake"
2015-09-17,463.3,437.1,"Lake"
2015-09-18,458,196.2,"Lake"
2015-09-19,NA,NA,"Lake"
2015-09-20,585.5,335.6,"Lake"
2015-09-21,742.3,358.1,"Lake"
2015-09-22,434,444,"Lake"
2015-09-23,487.1,512.8,"Lake"
2015-09-24,NA,NA,"Lake"
2015-09-25,323.7,326.4,"Lake"
2015-09-26,450.2,405.6,"Lake"
2015-09-27,500.3,416.9,"Lake"
2015-09-28,397.7,403.6,"Lake"
2015-09-29,592.8,491.2,"Lake"
2015-09-30,443.8,537.5,"Lake"
2015-10-01,598.6,344,"Lake"
2015-10-02,NA,NA,"Lake"
2015-10-03,679.6,511.8,"Lake"
2015-10-04,657.2,401.9,"Lake"
