"Date","Mercury","Lead","Location"
2017-08-14,576,-3,"River"
2017-08-15,608,179.3,"River"
2017-08-16,623.7,253.5,"River"
2017-08-17,561.8,231.5,"River"
2017-08-18,832.2,131.8,"River"
2017-08-19,818.8,141.4,"River"
2017-08-20,593.4,233,"River"
2017-08-21,549.3,129.3,"River"
2017-08-22,714.4,151.7,"River"
2017-08-23,657.9,202.2,"River"
2017-08-24,NA,NA,"River"
2017-08-25,NA,NA,"River"
2017-08-26,NA,NA,"River"
2017-08-27,721.9,168.9,"River"
2017-08-28,760.5,336.4,"River"
2017-08-29,NA,NA,"River"
2017-08-30,612.2,108.9,"River"
2017-08-31,832.8,98.4,"River"
2017-09-01,612.9,277.3,"River"
2017-09-02,NA,NA,"River"
2017-09-03,631.1,86.4,"River"
2017-09-04,NA,NA,"River"
2017-09-05,639.6,371.1,"River"
2017-09-06,NA,NA,"River"
2017-09-07,566.3,365.7,"River"
2017-09-08,582.4,155.2,"River"
2017-09-09,612,198.3,"River"
2017-09-10,NA,NA,"River"
2017-09-11,488,239.7,"River"
2017-09-12,704.6,274.3,"River"
2017-09-13,644.2,307.3,"River"
2017-09-14,473.7,400.1,"River"
2017-09-15,564.3,245,"River"
2017-09-16,416.4,158.7,"River"
2017-09-17,639.1,130.7,"River"
2017-09-18,740.4,206.9,"River"
2017-09-19,558.5,395.7,"River"
2017-09-20,588.1,257,"River"
2017-09-21,570.7,-30.4,"River"
2017-09-22,690.3,103.9,"River"
2017-09-23,581.7,61.9,"River"
2017-09-24,894.1,297.2,"River"
2017-09-25,574.3,154.5,"River"
2017-09-26,723.2,137.8,"River"
2017-09-27,725.4,318.3,"River"
2017-09-28,565.4,86.5,"River"
2017-09-29,549.2,313.1,"River"
2017-09-30,NA,NA,"River"
2017-10-01,616.5,211.2,"River"
2017-10-02,666.4,354.1,"River"
2017-10-03,NA,NA,"River"
2017-10-04,641.5,100.2,"River"
2017-10-05,511,271.1,"River"
2017-10-06,720.3,342.9,"River"
2017-10-07,NA,NA,"River"
2017-10-08,661.5,87.6,"River"
2017-10-09,831.4,151.2,"River"
2017-10-10,679.1,376.8,"River"
2017-10-11,727.6,285.2,"River"
2017-10-12,762.3,211.2,"River"
2017-10-13,480.3,175,"River"
2017-10-14,536.8,212,"River"
2017-10-15,642.3,40,"River"
2017-10-16,NA,NA,"River"
2017-10-17,599.4,377.2,"River"
2017-10-18,715.4,92.5,"River"
2017-10-19,NA,NA,"River"
2017-10-20,NA,NA,"River"
2017-10-21,726.7,101.3,"River"
2017-10-22,720.6,378.9,"River"
2017-10-23,772.6,221.9,"River"
2017-10-24,602.8,244.2,"River"
2017-10-25,647.3,17.1,"River"
2017-10-26,663.6,277.1,"River"
2017-10-27,616.1,341.2,"River"
2017-10-28,738.3,245.8,"River"
2017-10-29,NA,NA,"River"
2017-10-30,606.1,168.7,"River"
2017-10-31,637.4,101.8,"River"
2017-11-01,571.4,116.8,"River"
2017-11-02,905.4,367.2,"River"
2017-11-03,488.3,241.5,"River"
2017-11-04,570.4,238.5,"River"
2017-11-05,NA,NA,"River"
2017-11-06,680.9,173.5,"River"
2017-11-07,529.2,194.4,"River"
2017-11-08,NA,NA,"River"
2017-11-09,546.9,271,"River"
2017-11-10,NA,NA,"River"
2017-11-11,747.3,207.1,"River"
2017-11-12,NA,NA,"River"
2017-11-13,682.6,326.1,"River"
2017-11-14,537.7,186.2,"River"
2017-11-15,611.7,114,"River"
2017-11-16,NA,NA,"River"
2017-11-17,692.9,304.8,"River"
2017-11-18,NA,NA,"River"
2017-11-19,683.3,185.8,"River"
2017-11-20,NA,NA,"River"
2017-11-21,692,211.2,"River"
2017-11-22,NA,NA,"River"
2017-11-23,654.7,190,"River"
2017-11-24,755.9,76.7,"River"
2017-11-25,848.5,326.7,"River"
2017-11-26,648,142.5,"River"
2017-11-27,616.8,271.3,"River"
2017-11-28,735.5,255.8,"River"
2017-11-29,651.3,91.3,"River"
2017-11-30,551.7,329.9,"River"
2017-12-01,547.3,205.3,"River"
2017-12-02,NA,NA,"River"
2017-12-03,787.2,169.4,"River"
2017-12-04,NA,NA,"River"
2017-12-05,663.4,349.3,"River"
2017-12-06,779.3,198.3,"River"
2017-12-07,NA,NA,"River"
2017-12-08,794.5,299,"River"
2017-12-09,643.2,242.3,"River"
2017-12-10,NA,NA,"River"
2017-12-11,850.2,262.2,"River"
2017-12-12,525.3,148.8,"River"
2017-12-13,NA,NA,"River"
2017-12-14,678.4,125,"River"
2017-12-15,704.5,159.2,"River"
2017-12-16,NA,NA,"River"
2017-12-17,762.4,188.3,"River"
2017-12-18,695.2,354,"River"
