"Date","Mercury","Lead","Location"
2016-07-28,368,518.6,"Lake"
2016-07-29,587.2,369.2,"Lake"
2016-07-30,657.8,397.6,"Lake"
2016-07-31,546.8,488,"Lake"
2016-08-01,564,323.6,"Lake"
2016-08-02,NA,NA,"Lake"
2016-08-03,540,336.6,"Lake"
2016-08-04,343.1,269.5,"Lake"
2016-08-05,527.6,501.1,"Lake"
2016-08-06,NA,NA,"Lake"
2016-08-07,428.1,335.5,"Lake"
2016-08-08,411.8,460,"Lake"
2016-08-09,649.2,310.7,"Lake"
2016-08-10,506.5,289.4,"Lake"
2016-08-11,NA,NA,"Lake"
2016-08-12,558.9,402.6,"Lake"
2016-08-13,523.5,313.8,"Lake"
2016-08-14,419.2,466.4,"Lake"
2016-08-15,486.6,275.5,"Lake"
2016-08-16,503.3,427.1,"Lake"
2016-08-17,523.5,469.9,"Lake"
2016-08-18,599,267,"Lake"
2016-08-19,492.5,196.8,"Lake"
2016-08-20,499.3,567.6,"Lake"
2016-08-21,499,334.1,"Lake"
2016-08-22,NA,NA,"Lake"
2016-08-23,507.9,506.4,"Lake"
2016-08-24,587.6,483.1,"Lake"
2016-08-25,NA,NA,"Lake"
2016-08-26,679.2,243,"Lake"
2016-08-27,753.4,355.3,"Lake"
2016-08-28,612.9,433.8,"Lake"
2016-08-29,542.3,512.8,"Lake"
2016-08-30,380.9,507.9,"Lake"
2016-08-31,459.7,441.3,"Lake"
2016-09-01,440.7,347.4,"Lake"
2016-09-02,NA,NA,"Lake"
2016-09-03,NA,NA,"Lake"
2016-09-04,NA,NA,"Lake"
2016-09-05,405.4,408.2,"Lake"
2016-09-06,429,375.5,"Lake"
2016-09-07,NA,NA,"Lake"
2016-09-08,672.5,506.5,"Lake"
2016-09-09,447.8,436.4,"Lake"
2016-09-10,711,262.2,"Lake"
2016-09-11,581.2,226.5,"Lake"
2016-09-12,NA,NA,"Lake"
2016-09-13,NA,NA,"Lake"
2016-09-14,367.9,487.1,"Lake"
2016-09-15,445.1,471.2,"Lake"
2016-09-16,687.1,329.6,"Lake"
2016-09-17,336.1,243,"Lake"
2016-09-18,546.5,589.7,"Lake"
2016-09-19,537.5,463,"Lake"
2016-09-20,530.3,636.9,"Lake"
2016-09-21,545.5,457.9,"Lake"
2016-09-22,703.3,392.5,"Lake"
2016-09-23,571.9,451.9,"Lake"
2016-09-24,565.2,415.1,"Lake"
2016-09-25,372.5,201.4,"Lake"
