"Date","Mercury","Lead","Location"
2012-09-09,NA,NA,"River"
2012-09-10,927.6,273.9,"River"
2012-09-11,780.8,152.8,"River"
2012-09-12,607.9,190,"River"
2012-09-13,NA,NA,"River"
2012-09-14,684.3,80,"River"
2012-09-15,NA,NA,"River"
2012-09-16,635,279,"River"
2012-09-17,NA,NA,"River"
2012-09-18,729.8,270,"River"
2012-09-19,NA,NA,"River"
2012-09-20,712.9,327.1,"River"
2012-09-21,626.9,103.6,"River"
2012-09-22,686.1,311.5,"River"
2012-09-23,685.8,467.9,"River"
2012-09-24,635.1,130,"River"
2012-09-25,NA,NA,"River"
2012-09-26,763.3,115,"River"
2012-09-27,605.3,103.1,"River"
2012-09-28,840.1,125.4,"River"
2012-09-29,752.8,221.3,"River"
2012-09-30,611.2,88.6,"River"
2012-10-01,NA,NA,"River"
2012-10-02,768.1,-4.3,"River"
2012-10-03,827.7,-68,"River"
2012-10-04,596.8,82.9,"River"
2012-10-05,706.7,218.6,"River"
2012-10-06,642.9,132,"River"
2012-10-07,597.5,222.4,"River"
2012-10-08,746.5,209.2,"River"
2012-10-09,568.8,329.5,"River"
2012-10-10,707.3,226,"River"
2012-10-11,531.9,356.2,"River"
2012-10-12,609.8,391,"River"
2012-10-13,NA,NA,"River"
2012-10-14,463.3,124.1,"River"
2012-10-15,624.4,302.4,"River"
2012-10-16,530.3,161.8,"River"
2012-10-17,617.7,134.3,"River"
2012-10-18,571.8,296.4,"River"
2012-10-19,712.5,191,"River"
2012-10-20,659.6,318.4,"River"
2012-10-21,549.5,151.6,"River"
2012-10-22,743.8,82.3,"River"
2012-10-23,611.8,272.1,"River"
2012-10-24,544.1,248.5,"River"
2012-10-25,669,100.9,"River"
2012-10-26,529,276.2,"River"
2012-10-27,628.3,75.3,"River"
2012-10-28,635.1,150.8,"River"
2012-10-29,511.7,303,"River"
2012-10-30,NA,NA,"River"
2012-10-31,NA,NA,"River"
2012-11-01,659.5,213.5,"River"
2012-11-02,797.3,345.4,"River"
2012-11-03,NA,NA,"River"
2012-11-04,NA,NA,"River"
2012-11-05,473.9,174.1,"River"
2012-11-06,485.7,39.3,"River"
2012-11-07,647,16,"River"
2012-11-08,673.7,6.8,"River"
2012-11-09,570.8,148.8,"River"
2012-11-10,546.5,215.1,"River"
2012-11-11,650.6,151,"River"
2012-11-12,670.1,102.1,"River"
2012-11-13,399.8,106.9,"River"
2012-11-14,758.6,78.6,"River"
2012-11-15,NA,NA,"River"
2012-11-16,NA,NA,"River"
2012-11-17,NA,NA,"River"
2012-11-18,647.3,192.2,"River"
2012-11-19,605.2,328.4,"River"
2012-11-20,563.2,96.4,"River"
2012-11-21,NA,NA,"River"
2012-11-22,516.4,107.6,"River"
2012-11-23,609,376.6,"River"
2012-11-24,733.2,116.2,"River"
2012-11-25,476.1,273.7,"River"
2012-11-26,647.8,153.6,"River"
2012-11-27,647.4,302,"River"
2012-11-28,579.7,150.8,"River"
2012-11-29,646.3,296.1,"River"
2012-11-30,NA,NA,"River"
2012-12-01,648.7,247.2,"River"
2012-12-02,660.5,326,"River"
2012-12-03,698,179,"River"
2012-12-04,782.9,189.9,"River"
2012-12-05,NA,NA,"River"
2012-12-06,553.9,341.6,"River"
2012-12-07,891.4,400.7,"River"
2012-12-08,716.3,84,"River"
2012-12-09,760.6,321.6,"River"
2012-12-10,700.2,398.7,"River"
