"Date","Mercury","Lead","Location"
2012-02-22,696.1,137.4,"River"
2012-02-23,661.6,173.2,"River"
2012-02-24,673.7,171.7,"River"
2012-02-25,773.2,214.2,"River"
2012-02-26,NA,NA,"River"
2012-02-27,948.4,258,"River"
2012-02-28,748.8,118.6,"River"
2012-02-29,NA,NA,"River"
2012-03-01,785.4,36.6,"River"
2012-03-02,NA,NA,"River"
2012-03-03,779.5,231.8,"River"
2012-03-04,876,235.7,"River"
2012-03-05,NA,NA,"River"
2012-03-06,940.5,232.9,"River"
2012-03-07,767.9,243.9,"River"
2012-03-08,703.4,38.4,"River"
2012-03-09,882.1,354.5,"River"
2012-03-10,765.9,118.2,"River"
2012-03-11,638.3,193.6,"River"
2012-03-12,492.5,243.2,"River"
2012-03-13,742.1,230.1,"River"
2012-03-14,NA,NA,"River"
2012-03-15,633.4,166.6,"River"
2012-03-16,489.3,52.8,"River"
2012-03-17,847.4,306.6,"River"
2012-03-18,702.2,285.2,"River"
2012-03-19,589.3,96.9,"River"
2012-03-20,747.6,107.9,"River"
2012-03-21,685,257.4,"River"
2012-03-22,692,295.2,"River"
2012-03-23,583.7,173.4,"River"
2012-03-24,883.1,236.1,"River"
2012-03-25,704.8,207.6,"River"
2012-03-26,799.2,74.5,"River"
2012-03-27,889.1,88,"River"
2012-03-28,622.6,317.9,"River"
2012-03-29,725.5,173.4,"River"
2012-03-30,851,138.9,"River"
2012-03-31,579.8,180.9,"River"
2012-04-01,867.5,-203.5,"River"
2012-04-02,806.5,33.9,"River"
2012-04-03,635.6,367.7,"River"
2012-04-04,509.8,123.8,"River"
2012-04-05,597.7,364.7,"River"
2012-04-06,749.5,92.3,"River"
2012-04-07,NA,NA,"River"
2012-04-08,513.7,325.1,"River"
2012-04-09,920.2,153.9,"River"
2012-04-10,764.5,333.6,"River"
2012-04-11,610.2,230,"River"
2012-04-12,637.1,304.3,"River"
2012-04-13,831.8,309.2,"River"
2012-04-14,702.6,217.5,"River"
2012-04-15,890.9,156.1,"River"
2012-04-16,648.6,43.7,"River"
2012-04-17,794.1,99.2,"River"
2012-04-18,NA,NA,"River"
2012-04-19,666.7,280,"River"
2012-04-20,NA,NA,"River"
2012-04-21,675.4,196.4,"River"
2012-04-22,896.6,82.1,"River"
2012-04-23,799,302.2,"River"
2012-04-24,782.2,216.2,"River"
2012-04-25,NA,NA,"River"
2012-04-26,638,270.3,"River"
2012-04-27,NA,NA,"River"
2012-04-28,923.1,186.4,"River"
2012-04-29,714.9,137.1,"River"
2012-04-30,861.2,340.7,"River"
2012-05-01,NA,NA,"River"
2012-05-02,549.2,297.7,"River"
2012-05-03,666,142.3,"River"
2012-05-04,552.7,104.9,"River"
2012-05-05,NA,NA,"River"
2012-05-06,664.3,361.8,"River"
2012-05-07,709.7,228.3,"River"
2012-05-08,612.7,279.2,"River"
2012-05-09,NA,NA,"River"
2012-05-10,710.3,265.5,"River"
2012-05-11,676.5,208.1,"River"
2012-05-12,734.7,169.6,"River"
2012-05-13,NA,NA,"River"
2012-05-14,NA,NA,"River"
2012-05-15,784.9,364.1,"River"
2012-05-16,587.1,146.9,"River"
2012-05-17,751.7,146.8,"River"
2012-05-18,598.2,202.2,"River"
2012-05-19,875.9,185.4,"River"
2012-05-20,842.1,142.3,"River"
2012-05-21,NA,NA,"River"
2012-05-22,789.9,347.6,"River"
2012-05-23,642.2,234.6,"River"
2012-05-24,NA,NA,"River"
2012-05-25,NA,NA,"River"
2012-05-26,603.6,298.5,"River"
2012-05-27,753.5,145.7,"River"
2012-05-28,676,203,"River"
2012-05-29,724.3,208.1,"River"
2012-05-30,808.5,82.1,"River"
2012-05-31,768.5,88.1,"River"
2012-06-01,NA,NA,"River"
2012-06-02,812.2,159.9,"River"
2012-06-03,719.9,364.3,"River"
2012-06-04,478.8,220.8,"River"
2012-06-05,714.6,179.7,"River"
2012-06-06,NA,NA,"River"
2012-06-07,690.7,86.4,"River"
2012-06-08,860.4,184.2,"River"
2012-06-09,748.8,208.2,"River"
2012-06-10,NA,NA,"River"
2012-06-11,616.1,245.3,"River"
2012-06-12,526.1,46.4,"River"
2012-06-13,585.5,167.8,"River"
2012-06-14,836.6,201.4,"River"
2012-06-15,805.9,278.4,"River"
2012-06-16,NA,NA,"River"
2012-06-17,643.8,258.3,"River"
2012-06-18,750.2,332.6,"River"
2012-06-19,667.1,245.1,"River"
2012-06-20,847.5,321.6,"River"
2012-06-21,818.5,258.2,"River"
2012-06-22,NA,NA,"River"
2012-06-23,NA,NA,"River"
2012-06-24,1015.4,-7.9,"River"
2012-06-25,739.9,320.8,"River"
2012-06-26,756.4,195.2,"River"
2012-06-27,669.1,211.6,"River"
2012-06-28,769.2,111.3,"River"
2012-06-29,753.4,347.3,"River"
2012-06-30,768,366.4,"River"
2012-07-01,719.1,190.3,"River"
2012-07-02,594.8,386.8,"River"
2012-07-03,494.1,239.5,"River"
2012-07-04,749.7,217.6,"River"
2012-07-05,NA,NA,"River"
2012-07-06,806.9,77.2,"River"
2012-07-07,611.2,209.4,"River"
2012-07-08,538.6,12.6,"River"
2012-07-09,691.7,126.1,"River"
2012-07-10,752.2,92.5,"River"
2012-07-11,775.6,183.8,"River"
2012-07-12,732.4,57.8,"River"
2012-07-13,705.7,55.3,"River"
2012-07-14,673.8,280.4,"River"
2012-07-15,651,122.3,"River"
2012-07-16,863,204.3,"River"
2012-07-17,667.8,228.9,"River"
2012-07-18,643.3,155.4,"River"
2012-07-19,703.6,77.5,"River"
2012-07-20,587.1,119.8,"River"
2012-07-21,612.5,59.1,"River"
2012-07-22,743.6,303.7,"River"
2012-07-23,555.1,308.1,"River"
2012-07-24,572,84.4,"River"
2012-07-25,759,-52.1,"River"
2012-07-26,804.9,105.6,"River"
2012-07-27,NA,NA,"River"
2012-07-28,744.6,200.4,"River"
2012-07-29,NA,NA,"River"
2012-07-30,674.1,358.9,"River"
2012-07-31,651.8,226.6,"River"
2012-08-01,638.5,44.6,"River"
2012-08-02,NA,NA,"River"
2012-08-03,769.1,88.7,"River"
2012-08-04,751.3,224.3,"River"
2012-08-05,669.6,214.7,"River"
2012-08-06,746.2,124.5,"River"
2012-08-07,NA,NA,"River"
2012-08-08,729.6,275,"River"
2012-08-09,NA,NA,"River"
2012-08-10,NA,NA,"River"
2012-08-11,484.6,138.2,"River"
2012-08-12,536.3,-10,"River"
2012-08-13,934.2,284.6,"River"
2012-08-14,687.5,198.7,"River"
2012-08-15,NA,NA,"River"
2012-08-16,696.3,119.2,"River"
2012-08-17,500.5,205.5,"River"
2012-08-18,570.9,169.9,"River"
2012-08-19,882.6,158,"River"
2012-08-20,677.1,324.7,"River"
2012-08-21,676.4,171.5,"River"
2012-08-22,780.9,108.4,"River"
2012-08-23,494.2,164.7,"River"
2012-08-24,748.5,88.8,"River"
2012-08-25,NA,NA,"River"
2012-08-26,525.1,185.8,"River"
2012-08-27,560.9,335.9,"River"
2012-08-28,530.8,257.8,"River"
2012-08-29,605.9,83.5,"River"
2012-08-30,725.4,77.3,"River"
2012-08-31,669.6,111.5,"River"
2012-09-01,NA,NA,"River"
2012-09-02,NA,NA,"River"
2012-09-03,616.4,238.5,"River"
2012-09-04,600.9,267.5,"River"
2012-09-05,617.1,264.9,"River"
2012-09-06,NA,NA,"River"
2012-09-07,663.4,153.5,"River"
2012-09-08,489.4,437.9,"River"
