"Date","Mercury","Lead","Location"
2010-01-01,602.5,0,"Lake"
2010-01-02,172,0,"Lake"
2010-01-03,NA,NA,"Lake"
2010-01-04,405.3,72.7,"Lake"
2010-01-05,352.2,61.6,"Lake"
2010-01-06,NA,NA,"Lake"
2010-01-07,543.6,124.2,"Lake"
2010-01-08,299.1,0,"Lake"
2010-01-09,162.4,8.8,"Lake"
2010-01-10,261.2,46.9,"Lake"
2010-01-11,418.9,0,"Lake"
2010-01-12,619.5,193.1,"Lake"
2010-01-13,NA,NA,"Lake"
2010-01-14,581.5,0,"Lake"
2010-01-15,396.6,94.1,"Lake"
2010-01-16,547.2,163.3,"Lake"
2010-01-17,337.9,329.7,"Lake"
2010-01-18,NA,NA,"Lake"
2010-01-19,465.7,62.5,"Lake"
2010-01-20,506.7,28.2,"Lake"
2010-01-21,437.3,0,"Lake"
2010-01-22,685.9,174.7,"Lake"
2010-01-23,462.7,206.7,"Lake"
2010-01-24,91.2,13.9,"Lake"
2010-01-25,478,227.4,"Lake"
2010-01-26,431.4,104.1,"Lake"
2010-01-27,528.9,143,"Lake"
2010-01-28,448.1,227.1,"Lake"
2010-01-29,430.6,38.4,"Lake"
2010-01-30,464.2,186.8,"Lake"
2010-01-31,291.2,198.8,"Lake"
2010-02-01,551.9,262.5,"Lake"
2010-02-02,565.8,259.3,"Lake"
2010-02-03,424.7,219,"Lake"
2010-02-04,496.1,0,"Lake"
2010-02-05,NA,NA,"Lake"
2010-02-06,505.8,74.6,"Lake"
2010-02-07,354.2,110,"Lake"
2010-02-08,238.5,224.9,"Lake"
2010-02-09,502.3,183.5,"Lake"
2010-02-10,NA,NA,"Lake"
2010-02-11,NA,NA,"Lake"
2010-02-12,529.5,79.9,"Lake"
2010-02-13,NA,NA,"Lake"
2010-02-14,359.6,49.1,"Lake"
2010-02-15,NA,NA,"Lake"
2010-02-16,335.5,171.7,"Lake"
2010-02-17,NA,NA,"Lake"
2010-02-18,401.5,140.1,"Lake"
2010-02-19,368,49.3,"Lake"
2010-02-20,NA,NA,"Lake"
2010-02-21,395.1,62.1,"Lake"
2010-02-22,379.5,0,"Lake"
2010-02-23,503.4,131.1,"Lake"
2010-02-24,NA,NA,"Lake"
2010-02-25,NA,NA,"Lake"
2010-02-26,457.5,221.9,"Lake"
2010-02-27,NA,NA,"Lake"
2010-02-28,435.6,146.5,"Lake"
2010-03-01,510.4,18.7,"Lake"
2010-03-02,429.1,0,"Lake"
2010-03-03,428.9,259.7,"Lake"
2010-03-04,392.3,164.9,"Lake"
2010-03-05,416.1,131.8,"Lake"
2010-03-06,500.1,137.3,"Lake"
2010-03-07,418.7,0,"Lake"
2010-03-08,375.4,222.5,"Lake"
2010-03-09,NA,NA,"Lake"
2010-03-10,601.5,111.6,"Lake"
2010-03-11,NA,NA,"Lake"
2010-03-12,476.8,77.5,"Lake"
2010-03-13,487.8,60.3,"Lake"
2010-03-14,529.5,186.2,"Lake"
2010-03-15,442.9,149.1,"Lake"
2010-03-16,430.4,24,"Lake"
2010-03-17,NA,NA,"Lake"
2010-03-18,572.8,262.5,"Lake"
2010-03-19,299.4,135.2,"Lake"
2010-03-20,273.3,197.3,"Lake"
2010-03-21,494.8,214.4,"Lake"
2010-03-22,330.7,296.4,"Lake"
2010-03-23,268.2,0,"Lake"
2010-03-24,NA,NA,"Lake"
2010-03-25,405.7,188.3,"Lake"
2010-03-26,435.5,76.9,"Lake"
2010-03-27,NA,NA,"Lake"
2010-03-28,NA,NA,"Lake"
2010-03-29,NA,NA,"Lake"
2010-03-30,NA,NA,"Lake"
2010-03-31,614.7,263.1,"Lake"
2010-04-01,NA,NA,"Lake"
2010-04-02,473.4,110.3,"Lake"
2010-04-03,607.5,352.6,"Lake"
2010-04-04,273.7,71.9,"Lake"
2010-04-05,NA,NA,"Lake"
2010-04-06,545.2,147.4,"Lake"
2010-04-07,341.9,137.6,"Lake"
2010-04-08,483.4,101.5,"Lake"
2010-04-09,416.9,46.3,"Lake"
2010-04-10,492.3,105.3,"Lake"
2010-04-11,460.2,51.8,"Lake"
2010-04-12,289.7,141.4,"Lake"
2010-04-13,551.3,0,"Lake"
2010-04-14,NA,NA,"Lake"
2010-04-15,519.2,214.9,"Lake"
2010-04-16,NA,NA,"Lake"
2010-04-17,550.6,211.1,"Lake"
2010-04-18,566.5,69.9,"Lake"
2010-04-19,632.2,286.9,"Lake"
2010-04-20,304.2,116.1,"Lake"
2010-04-21,NA,NA,"Lake"
2010-04-22,393,157.8,"Lake"
2010-04-23,609.5,0,"Lake"
2010-04-24,510.5,134.9,"Lake"
2010-04-25,449.7,118.8,"Lake"
2010-04-26,556,139,"Lake"
2010-04-27,500.1,163.8,"Lake"
2010-04-28,460.8,106,"Lake"
2010-04-29,571.8,101.9,"Lake"
2010-04-30,400.1,0,"Lake"
2010-05-01,NA,NA,"Lake"
2010-05-02,364.7,227.5,"Lake"
2010-05-03,NA,NA,"Lake"
2010-05-04,565.3,233.5,"Lake"
2010-05-05,244.1,189.3,"Lake"
2010-05-06,442.3,115.7,"Lake"
2010-05-07,387.9,34.4,"Lake"
2010-05-08,318.8,67.9,"Lake"
2010-05-09,502.1,67.7,"Lake"
2010-05-10,368.9,192.9,"Lake"
2010-05-11,529.5,111.6,"Lake"
2010-05-12,482.8,192.3,"Lake"
2010-05-13,NA,NA,"Lake"
2010-05-14,579.7,44.3,"Lake"
2010-05-15,507,63,"Lake"
2010-05-16,335.2,221.9,"Lake"
2010-05-17,364.6,0,"Lake"
2010-05-18,352,137.1,"Lake"
2010-05-19,NA,NA,"Lake"
2010-05-20,438.7,271.6,"Lake"
2010-05-21,454.5,167.5,"Lake"
2010-05-22,456.1,228.5,"Lake"
2010-05-23,591.3,41.6,"Lake"
2010-05-24,660,238.5,"Lake"
2010-05-25,452.6,162.7,"Lake"
2010-05-26,574,208.5,"Lake"
2010-05-27,610.7,84.9,"Lake"
2010-05-28,NA,NA,"Lake"
2010-05-29,NA,NA,"Lake"
2010-05-30,354.2,79.4,"Lake"
2010-05-31,475.4,11.8,"Lake"
2010-06-01,505.2,49.9,"Lake"
2010-06-02,374.4,197.7,"Lake"
2010-06-03,275.8,91.6,"Lake"
2010-06-04,NA,NA,"Lake"
2010-06-05,NA,NA,"Lake"
2010-06-06,339.8,182.3,"Lake"
2010-06-07,616.6,134.1,"Lake"
2010-06-08,NA,NA,"Lake"
2010-06-09,666.3,128.8,"Lake"
2010-06-10,333,59.8,"Lake"
2010-06-11,305.9,233.6,"Lake"
2010-06-12,404.7,132.9,"Lake"
2010-06-13,515.3,180.9,"Lake"
2010-06-14,436.7,149.5,"Lake"
2010-06-15,441.5,136.9,"Lake"
2010-06-16,321.3,153.5,"Lake"
2010-06-17,396.7,0,"Lake"
2010-06-18,250.5,169.7,"Lake"
2010-06-19,435.4,15.6,"Lake"
2010-06-20,514,117.8,"Lake"
2010-06-21,NA,NA,"Lake"
2010-06-22,464.9,90.4,"Lake"
2010-06-23,542.1,0,"Lake"
2010-06-24,381.1,298,"Lake"
2010-06-25,NA,NA,"Lake"
2010-06-26,565.3,0,"Lake"
2010-06-27,502.4,23,"Lake"
2010-06-28,461.3,208.5,"Lake"
2010-06-29,NA,NA,"Lake"
2010-06-30,257.8,66.8,"Lake"
2010-07-01,234.7,166.1,"Lake"
2010-07-02,257.4,220.6,"Lake"
2010-07-03,371.2,162.9,"Lake"
2010-07-04,377.8,57.8,"Lake"
2010-07-05,437,194.8,"Lake"
2010-07-06,426.6,61.3,"Lake"
2010-07-07,350.2,116.8,"Lake"
2010-07-08,491.9,199.1,"Lake"
2010-07-09,NA,NA,"Lake"
2010-07-10,511.5,54.4,"Lake"
2010-07-11,NA,NA,"Lake"
2010-07-12,425.9,88,"Lake"
2010-07-13,NA,NA,"Lake"
2010-07-14,355.6,141.5,"Lake"
2010-07-15,404,240.8,"Lake"
2010-07-16,419.4,135,"Lake"
2010-07-17,337.4,162.5,"Lake"
2010-07-18,343.7,78.3,"Lake"
2010-07-19,450,36.3,"Lake"
