"Date","Mercury","Lead","Location"
2017-01-26,635.3,251.5,"River"
2017-01-27,519.8,319,"River"
2017-01-28,788.3,54.9,"River"
2017-01-29,703.1,272.8,"River"
2017-01-30,NA,NA,"River"
2017-01-31,734.8,237.6,"River"
2017-02-01,778.2,310.4,"River"
2017-02-02,823.3,175.3,"River"
2017-02-03,NA,NA,"River"
2017-02-04,667.8,159.1,"River"
2017-02-05,739.7,93.9,"River"
2017-02-06,NA,NA,"River"
2017-02-07,NA,NA,"River"
2017-02-08,800.4,288,"River"
2017-02-09,669.3,227.7,"River"
2017-02-10,889.6,234.6,"River"
2017-02-11,815.3,167.8,"River"
2017-02-12,NA,NA,"River"
2017-02-13,727.4,118.5,"River"
2017-02-14,635.9,130.9,"River"
2017-02-15,689.3,39.4,"River"
2017-02-16,670.4,295.9,"River"
2017-02-17,805.2,272.6,"River"
2017-02-18,734.6,297.8,"River"
2017-02-19,606.8,195.1,"River"
2017-02-20,645.7,307.1,"River"
2017-02-21,NA,NA,"River"
2017-02-22,NA,NA,"River"
2017-02-23,684.8,72.6,"River"
2017-02-24,667.1,356.5,"River"
2017-02-25,NA,NA,"River"
2017-02-26,931.1,281.7,"River"
2017-02-27,754.3,324.5,"River"
2017-02-28,671.3,48,"River"
2017-03-01,NA,NA,"River"
2017-03-02,621.9,256.1,"River"
2017-03-03,875.3,226.8,"River"
2017-03-04,736,274.1,"River"
2017-03-05,862,259.5,"River"
2017-03-06,860.6,167,"River"
2017-03-07,888.4,168.3,"River"
2017-03-08,581.9,217.8,"River"
2017-03-09,515.9,198.9,"River"
2017-03-10,NA,NA,"River"
2017-03-11,NA,NA,"River"
2017-03-12,824.6,126,"River"
2017-03-13,NA,NA,"River"
2017-03-14,757.3,281.2,"River"
2017-03-15,NA,NA,"River"
2017-03-16,811.3,295.8,"River"
2017-03-17,833.6,487.2,"River"
2017-03-18,858,153.8,"River"
2017-03-19,747.4,28.1,"River"
2017-03-20,NA,NA,"River"
2017-03-21,NA,NA,"River"
2017-03-22,825,166.5,"River"
2017-03-23,728.3,221.6,"River"
2017-03-24,701.6,-14.5,"River"
2017-03-25,NA,NA,"River"
2017-03-26,743.8,275.8,"River"
2017-03-27,679.9,252.9,"River"
2017-03-28,710.4,150.1,"River"
2017-03-29,NA,NA,"River"
2017-03-30,NA,NA,"River"
2017-03-31,843.6,252.7,"River"
2017-04-01,698.4,137,"River"
2017-04-02,668.4,153.8,"River"
