"Date","Mercury","Lead","Location"
2016-07-10,NA,NA,"River"
2016-07-11,NA,NA,"River"
2016-07-12,678.3,287.1,"River"
2016-07-13,784,50.3,"River"
2016-07-14,763.9,281.4,"River"
2016-07-15,670.5,246.9,"River"
2016-07-16,617.8,46.7,"River"
2016-07-17,767.4,29.4,"River"
2016-07-18,686.5,88,"River"
2016-07-19,NA,NA,"River"
2016-07-20,748.3,216.1,"River"
2016-07-21,675,203,"River"
2016-07-22,862.1,258.6,"River"
2016-07-23,NA,NA,"River"
2016-07-24,545.2,72.4,"River"
2016-07-25,549,286.7,"River"
2016-07-26,864.1,187.7,"River"
2016-07-27,629.3,264.7,"River"
2016-07-28,711.6,26.9,"River"
2016-07-29,544.7,296.5,"River"
2016-07-30,609.7,250.4,"River"
2016-07-31,NA,NA,"River"
2016-08-01,NA,NA,"River"
2016-08-02,NA,NA,"River"
2016-08-03,632,234.6,"River"
2016-08-04,NA,NA,"River"
2016-08-05,760.6,143.8,"River"
2016-08-06,545.6,-1.1,"River"
2016-08-07,655.3,276.1,"River"
2016-08-08,665.4,371.5,"River"
2016-08-09,906.6,303.8,"River"
2016-08-10,649.6,160.5,"River"
2016-08-11,693.8,204.4,"River"
2016-08-12,745.2,283.4,"River"
2016-08-13,NA,NA,"River"
2016-08-14,706.2,266.2,"River"
2016-08-15,670.4,231.4,"River"
2016-08-16,554.2,471.4,"River"
2016-08-17,639.8,322.3,"River"
2016-08-18,NA,NA,"River"
2016-08-19,NA,NA,"River"
2016-08-20,749.5,241.6,"River"
2016-08-21,625.7,279,"River"
2016-08-22,547.2,233,"River"
2016-08-23,734.9,78.7,"River"
2016-08-24,477.8,59.3,"River"
2016-08-25,NA,NA,"River"
2016-08-26,593.9,342.6,"River"
2016-08-27,851.6,179.9,"River"
2016-08-28,767.9,217.4,"River"
2016-08-29,637.2,277.4,"River"
2016-08-30,NA,NA,"River"
2016-08-31,NA,NA,"River"
2016-09-01,622.1,13.5,"River"
2016-09-02,399.7,284.5,"River"
2016-09-03,560.8,251,"River"
2016-09-04,657.5,255.9,"River"
2016-09-05,609.1,148.3,"River"
2016-09-06,662.1,9.2,"River"
2016-09-07,NA,NA,"River"
2016-09-08,697.4,-44.1,"River"
2016-09-09,664.3,111.8,"River"
2016-09-10,692.2,263.9,"River"
2016-09-11,628.7,114.5,"River"
2016-09-12,728.3,105.3,"River"
2016-09-13,733.2,170.7,"River"
2016-09-14,NA,NA,"River"
2016-09-15,634.9,293.6,"River"
2016-09-16,643,319.1,"River"
2016-09-17,528.5,238.7,"River"
2016-09-18,640.6,167.4,"River"
2016-09-19,NA,NA,"River"
2016-09-20,668.9,392.8,"River"
2016-09-21,715.5,248.3,"River"
2016-09-22,652.5,292.4,"River"
2016-09-23,619.4,208.4,"River"
2016-09-24,NA,NA,"River"
2016-09-25,644.6,372.1,"River"
2016-09-26,553.2,187,"River"
2016-09-27,638.3,153,"River"
2016-09-28,NA,NA,"River"
2016-09-29,446.3,273.7,"River"
2016-09-30,760.7,344.4,"River"
2016-10-01,NA,NA,"River"
2016-10-02,NA,NA,"River"
2016-10-03,553,243.5,"River"
2016-10-04,NA,NA,"River"
2016-10-05,NA,NA,"River"
2016-10-06,651.1,254.9,"River"
2016-10-07,628.9,13.3,"River"
2016-10-08,760.8,253.6,"River"
2016-10-09,709.4,185.8,"River"
2016-10-10,583.8,196.6,"River"
2016-10-11,814.9,168.6,"River"
2016-10-12,568.3,232.8,"River"
2016-10-13,529.9,165.2,"River"
2016-10-14,509.5,49.3,"River"
2016-10-15,681,156,"River"
2016-10-16,599.1,334.9,"River"
2016-10-17,592.1,370,"River"
2016-10-18,466.1,175.8,"River"
2016-10-19,570.1,296.4,"River"
2016-10-20,NA,NA,"River"
2016-10-21,497.5,183.6,"River"
2016-10-22,NA,NA,"River"
2016-10-23,519.1,134.3,"River"
2016-10-24,698.9,183.8,"River"
2016-10-25,NA,NA,"River"
2016-10-26,521.7,18,"River"
2016-10-27,712.6,123,"River"
2016-10-28,539.6,99.7,"River"
2016-10-29,749.6,140.1,"River"
2016-10-30,619.7,161,"River"
2016-10-31,732.2,288.1,"River"
2016-11-01,721.5,169,"River"
2016-11-02,667.6,193.9,"River"
2016-11-03,581,251.5,"River"
2016-11-04,821.2,289.4,"River"
2016-11-05,773.1,350.4,"River"
2016-11-06,748,307.2,"River"
2016-11-07,706,106,"River"
2016-11-08,509.1,138.4,"River"
2016-11-09,443,330.8,"River"
2016-11-10,562.4,213,"River"
2016-11-11,NA,NA,"River"
2016-11-12,643.2,315.3,"River"
