"Date","Mercury","Lead","Location"
2010-07-20,361.9,114.6,"Lake"
2010-07-21,331,42.7,"Lake"
2010-07-22,NA,NA,"Lake"
2010-07-23,454.3,113,"Lake"
2010-07-24,430.1,58.3,"Lake"
2010-07-25,393.9,28.3,"Lake"
2010-07-26,410.9,24.8,"Lake"
2010-07-27,296,250.3,"Lake"
2010-07-28,456.9,194,"Lake"
2010-07-29,470.1,113.1,"Lake"
2010-07-30,284.6,20.1,"Lake"
2010-07-31,306.9,129.9,"Lake"
2010-08-01,365.6,156,"Lake"
2010-08-02,438.5,0,"Lake"
2010-08-03,NA,NA,"Lake"
2010-08-04,NA,NA,"Lake"
2010-08-05,354.3,154.5,"Lake"
2010-08-06,272.4,39.7,"Lake"
2010-08-07,NA,NA,"Lake"
2010-08-08,490.7,0,"Lake"
2010-08-09,282.1,111.8,"Lake"
2010-08-10,NA,NA,"Lake"
2010-08-11,226.1,60.4,"Lake"
2010-08-12,429,147.2,"Lake"
2010-08-13,548.4,188.9,"Lake"
2010-08-14,299.4,147.6,"Lake"
2010-08-15,NA,NA,"Lake"
2010-08-16,378,191.5,"Lake"
2010-08-17,485,294.1,"Lake"
2010-08-18,421.5,194.3,"Lake"
2010-08-19,NA,NA,"Lake"
2010-08-20,NA,NA,"Lake"
2010-08-21,354.8,260.9,"Lake"
2010-08-22,315.9,44.8,"Lake"
2010-08-23,387.1,123.8,"Lake"
2010-08-24,535.1,0,"Lake"
2010-08-25,NA,NA,"Lake"
2010-08-26,331.8,15.8,"Lake"
2010-08-27,285.9,208.2,"Lake"
2010-08-28,272.5,174.5,"Lake"
2010-08-29,252.5,234.1,"Lake"
2010-08-30,427.3,228,"Lake"
2010-08-31,314.6,0,"Lake"
2010-09-01,NA,NA,"Lake"
2010-09-02,499.5,280.7,"Lake"
2010-09-03,NA,NA,"Lake"
2010-09-04,NA,NA,"Lake"
2010-09-05,288.7,203.8,"Lake"
2010-09-06,435.1,104.1,"Lake"
2010-09-07,293.4,0,"Lake"
2010-09-08,398.3,182.7,"Lake"
2010-09-09,534.1,7.7,"Lake"
2010-09-10,351,167.8,"Lake"
2010-09-11,518.2,365.8,"Lake"
2010-09-12,504,83.5,"Lake"
2010-09-13,276.4,79.7,"Lake"
2010-09-14,399.8,0,"Lake"
2010-09-15,NA,NA,"Lake"
2010-09-16,283.9,110.8,"Lake"
2010-09-17,NA,NA,"Lake"
2010-09-18,433.7,94.8,"Lake"
2010-09-19,276.2,312.1,"Lake"
2010-09-20,NA,NA,"Lake"
2010-09-21,374.5,49.9,"Lake"
2010-09-22,218.4,231.3,"Lake"
2010-09-23,380.5,75,"Lake"
2010-09-24,NA,NA,"Lake"
2010-09-25,514.8,56,"Lake"
2010-09-26,350.6,0,"Lake"
2010-09-27,368.2,233.3,"Lake"
2010-09-28,305.5,175.4,"Lake"
2010-09-29,438.9,55.9,"Lake"
2010-09-30,NA,NA,"Lake"
2010-10-01,440.4,140,"Lake"
2010-10-02,NA,NA,"Lake"
2010-10-03,418.5,103.4,"Lake"
2010-10-04,219.8,30.6,"Lake"
2010-10-05,633.5,150.1,"Lake"
2010-10-06,222,222.8,"Lake"
2010-10-07,440.7,138.6,"Lake"
2010-10-08,323.3,43.7,"Lake"
2010-10-09,354.2,0,"Lake"
2010-10-10,491.5,6.5,"Lake"
2010-10-11,NA,NA,"Lake"
2010-10-12,441,189.8,"Lake"
2010-10-13,366.4,316.9,"Lake"
2010-10-14,NA,NA,"Lake"
2010-10-15,259.3,83.9,"Lake"
2010-10-16,NA,NA,"Lake"
2010-10-17,NA,NA,"Lake"
2010-10-18,89,20.8,"Lake"
2010-10-19,NA,NA,"Lake"
2010-10-20,218.9,406.2,"Lake"
2010-10-21,217.8,369.4,"Lake"
2010-10-22,358.2,120.7,"Lake"
2010-10-23,530.3,123.9,"Lake"
2010-10-24,327.7,118.3,"Lake"
2010-10-25,180.7,0,"Lake"
2010-10-26,578.9,237.5,"Lake"
2010-10-27,469,218.5,"Lake"
2010-10-28,315.1,178.8,"Lake"
2010-10-29,392,128.9,"Lake"
2010-10-30,587,0,"Lake"
2010-10-31,392.8,204,"Lake"
2010-11-01,537,204,"Lake"
2010-11-02,352.1,43.4,"Lake"
2010-11-03,NA,NA,"Lake"
2010-11-04,NA,NA,"Lake"
2010-11-05,440.5,161.4,"Lake"
2010-11-06,211.4,25,"Lake"
2010-11-07,471.3,195.9,"Lake"
2010-11-08,389.9,0,"Lake"
2010-11-09,344.8,163.8,"Lake"
2010-11-10,483,193.5,"Lake"
2010-11-11,325.2,81.6,"Lake"
2010-11-12,510.6,184,"Lake"
2010-11-13,594.9,15.9,"Lake"
2010-11-14,383.5,13.1,"Lake"
2010-11-15,325.8,175.4,"Lake"
2010-11-16,381.7,88.9,"Lake"
2010-11-17,344.6,173.7,"Lake"
2010-11-18,265.7,0,"Lake"
2010-11-19,356.3,0,"Lake"
2010-11-20,NA,NA,"Lake"
2010-11-21,530.3,50.4,"Lake"
2010-11-22,NA,NA,"Lake"
2010-11-23,531.8,178.6,"Lake"
2010-11-24,524.9,132.2,"Lake"
2010-11-25,380,71.9,"Lake"
2010-11-26,471,324.9,"Lake"
2010-11-27,427.7,180.7,"Lake"
2010-11-28,422.5,328.2,"Lake"
2010-11-29,476.8,253.1,"Lake"
2010-11-30,503.5,219,"Lake"
2010-12-01,366.3,86.1,"Lake"
2010-12-02,483.9,364.4,"Lake"
2010-12-03,440.6,213.2,"Lake"
2010-12-04,337.5,70.1,"Lake"
2010-12-05,NA,NA,"Lake"
2010-12-06,421.2,351.8,"Lake"
2010-12-07,458,251.3,"Lake"
2010-12-08,246.3,27.9,"Lake"
2010-12-09,359.9,0,"Lake"
2010-12-10,NA,NA,"Lake"
2010-12-11,285.9,78.1,"Lake"
2010-12-12,454.1,93.9,"Lake"
2010-12-13,NA,NA,"Lake"
2010-12-14,576.9,317.6,"Lake"
2010-12-15,403.1,131.6,"Lake"
2010-12-16,444.2,0,"Lake"
2010-12-17,590.9,269.8,"Lake"
2010-12-18,360,144.5,"Lake"
2010-12-19,489.4,48.5,"Lake"
2010-12-20,361,21.5,"Lake"
2010-12-21,708.5,155.4,"Lake"
2010-12-22,239.6,273.2,"Lake"
2010-12-23,NA,NA,"Lake"
2010-12-24,462,73.2,"Lake"
2010-12-25,331.7,260.3,"Lake"
2010-12-26,NA,NA,"Lake"
2010-12-27,429.4,269.7,"Lake"
2010-12-28,466.7,175.8,"Lake"
2010-12-29,492.3,57.3,"Lake"
2010-12-30,500.3,189.6,"Lake"
2010-12-31,572.4,100.1,"Lake"
2011-01-01,409,0,"Lake"
2011-01-02,366.6,180.8,"Lake"
2011-01-03,465.7,236.6,"Lake"
2011-01-04,420.3,188,"Lake"
2011-01-05,311.5,167.9,"Lake"
2011-01-06,273.2,153.2,"Lake"
2011-01-07,NA,NA,"Lake"
2011-01-08,372,72.7,"Lake"
2011-01-09,370.2,5.4,"Lake"
2011-01-10,397.5,160.1,"Lake"
2011-01-11,459.9,66.4,"Lake"
2011-01-12,364.6,204.2,"Lake"
2011-01-13,329.3,1.7,"Lake"
2011-01-14,525.1,308.1,"Lake"
2011-01-15,373.4,288.7,"Lake"
2011-01-16,NA,NA,"Lake"
2011-01-17,657,289.3,"Lake"
2011-01-18,464.9,2.4,"Lake"
2011-01-19,555.4,113.3,"Lake"
2011-01-20,376.9,138.9,"Lake"
2011-01-21,417.2,240.9,"Lake"
2011-01-22,321.8,209.3,"Lake"
2011-01-23,484.6,0,"Lake"
2011-01-24,265.3,76.9,"Lake"
2011-01-25,539.8,128.8,"Lake"
2011-01-26,563.2,205,"Lake"
2011-01-27,NA,NA,"Lake"
2011-01-28,NA,NA,"Lake"
2011-01-29,526.3,191.3,"Lake"
2011-01-30,563.4,167,"Lake"
2011-01-31,NA,NA,"Lake"
2011-02-01,424.4,142,"Lake"
2011-02-02,NA,NA,"Lake"
2011-02-03,369.6,141.1,"Lake"
2011-02-04,681.8,307.9,"Lake"
