"Date","Mercury","Lead","Location"
2013-10-14,523.4,152.4,"River"
2013-10-15,743,69.2,"River"
2013-10-16,826.3,222.5,"River"
2013-10-17,571.5,263.5,"River"
2013-10-18,486.6,216.4,"River"
2013-10-19,664.7,209.1,"River"
2013-10-20,788.6,128.9,"River"
2013-10-21,NA,NA,"River"
2013-10-22,NA,NA,"River"
2013-10-23,NA,NA,"River"
2013-10-24,607.1,184.8,"River"
2013-10-25,591.7,270.4,"River"
2013-10-26,NA,NA,"River"
2013-10-27,634.6,406.3,"River"
2013-10-28,701.2,239.5,"River"
2013-10-29,NA,NA,"River"
2013-10-30,NA,NA,"River"
2013-10-31,492.5,304,"River"
2013-11-01,781,22.8,"River"
2013-11-02,872.8,146.4,"River"
2013-11-03,624.3,77,"River"
2013-11-04,752,-9.8,"River"
2013-11-05,651.1,175.2,"River"
2013-11-06,542.1,168.7,"River"
2013-11-07,654.7,150.9,"River"
2013-11-08,760.1,104.3,"River"
2013-11-09,743.8,136.7,"River"
2013-11-10,703,262.9,"River"
2013-11-11,678.7,82.2,"River"
2013-11-12,NA,NA,"River"
2013-11-13,675.8,231.2,"River"
2013-11-14,618.2,242.4,"River"
2013-11-15,744.5,372.4,"River"
2013-11-16,706.2,333.6,"River"
2013-11-17,877.2,132.8,"River"
2013-11-18,690.3,80.6,"River"
2013-11-19,684.2,156.4,"River"
2013-11-20,799.6,258.6,"River"
2013-11-21,540.2,262.7,"River"
2013-11-22,764.8,254.9,"River"
2013-11-23,NA,NA,"River"
2013-11-24,774.7,82.7,"River"
2013-11-25,NA,NA,"River"
2013-11-26,721,84.5,"River"
2013-11-27,495.6,238.2,"River"
2013-11-28,NA,NA,"River"
2013-11-29,870.2,123.6,"River"
2013-11-30,672.7,230.7,"River"
2013-12-01,508.1,258.5,"River"
2013-12-02,NA,NA,"River"
2013-12-03,NA,NA,"River"
2013-12-04,859.4,15.8,"River"
2013-12-05,680.1,15,"River"
2013-12-06,868.5,99.1,"River"
2013-12-07,NA,NA,"River"
2013-12-08,NA,NA,"River"
2013-12-09,709.3,169.9,"River"
2013-12-10,637.7,173.4,"River"
2013-12-11,NA,NA,"River"
2013-12-12,703.6,198.5,"River"
2013-12-13,NA,NA,"River"
2013-12-14,872.9,201,"River"
2013-12-15,569.4,126.5,"River"
2013-12-16,561.5,88.8,"River"
2013-12-17,612.9,81.3,"River"
2013-12-18,656.1,232.7,"River"
