"Date","Mercury","Lead","Location"
2011-08-06,603.5,226.9,"River"
2011-08-07,NA,NA,"River"
2011-08-08,688.9,146.9,"River"
2011-08-09,701.8,213.8,"River"
2011-08-10,674.3,297.9,"River"
2011-08-11,591.4,80.7,"River"
2011-08-12,718.6,66.2,"River"
2011-08-13,583,293.5,"River"
2011-08-14,734.2,221.2,"River"
2011-08-15,572.5,301,"River"
2011-08-16,NA,NA,"River"
2011-08-17,821.3,322,"River"
2011-08-18,542,123.1,"River"
2011-08-19,NA,NA,"River"
2011-08-20,756.2,240.4,"River"
2011-08-21,842.7,405.8,"River"
2011-08-22,609,217.6,"River"
2011-08-23,565.3,300,"River"
2011-08-24,NA,NA,"River"
2011-08-25,794.5,314.6,"River"
2011-08-26,NA,NA,"River"
2011-08-27,671.7,294.2,"River"
2011-08-28,NA,NA,"River"
2011-08-29,737.3,382.1,"River"
2011-08-30,664.7,438.1,"River"
2011-08-31,742.7,332,"River"
2011-09-01,658,100,"River"
2011-09-02,679.8,335.2,"River"
2011-09-03,746.1,47.8,"River"
2011-09-04,583.8,122.2,"River"
2011-09-05,NA,NA,"River"
2011-09-06,NA,NA,"River"
2011-09-07,706.2,256.2,"River"
2011-09-08,736.5,191.3,"River"
2011-09-09,654.4,75.1,"River"
2011-09-10,710.5,81,"River"
2011-09-11,712.1,324.1,"River"
2011-09-12,NA,NA,"River"
2011-09-13,667.3,92.4,"River"
2011-09-14,720.4,275.2,"River"
2011-09-15,722,239.4,"River"
2011-09-16,623.1,272.2,"River"
2011-09-17,599.3,82.2,"River"
2011-09-18,NA,NA,"River"
2011-09-19,515.6,207.6,"River"
2011-09-20,NA,NA,"River"
2011-09-21,704.5,144.7,"River"
2011-09-22,NA,NA,"River"
2011-09-23,574.2,395.6,"River"
2011-09-24,511,170.1,"River"
2011-09-25,873.3,182.5,"River"
2011-09-26,764.8,177.1,"River"
2011-09-27,643.9,269.9,"River"
2011-09-28,NA,NA,"River"
2011-09-29,718.2,162.9,"River"
2011-09-30,669.1,162.8,"River"
2011-10-01,770.1,148.9,"River"
2011-10-02,643,238,"River"
2011-10-03,694.6,216.1,"River"
2011-10-04,783.8,301.4,"River"
2011-10-05,499.7,268.8,"River"
2011-10-06,NA,NA,"River"
2011-10-07,781.4,-3,"River"
2011-10-08,749.2,255.1,"River"
2011-10-09,NA,NA,"River"
2011-10-10,626.5,103.3,"River"
2011-10-11,721.8,241.1,"River"
2011-10-12,484.9,147.4,"River"
2011-10-13,608.7,175.9,"River"
2011-10-14,NA,NA,"River"
2011-10-15,NA,NA,"River"
2011-10-16,NA,NA,"River"
2011-10-17,571,227.7,"River"
2011-10-18,544.5,114.5,"River"
2011-10-19,474.8,271.3,"River"
2011-10-20,660.1,290.1,"River"
2011-10-21,739.4,145.9,"River"
2011-10-22,638.2,288.6,"River"
2011-10-23,868.7,228.8,"River"
2011-10-24,475,202,"River"
2011-10-25,NA,NA,"River"
2011-10-26,638.3,263.9,"River"
2011-10-27,NA,NA,"River"
2011-10-28,668,199.1,"River"
2011-10-29,NA,NA,"River"
2011-10-30,685.2,155.2,"River"
2011-10-31,643.4,163.1,"River"
2011-11-01,680.2,256.7,"River"
2011-11-02,516.9,137.4,"River"
2011-11-03,NA,NA,"River"
2011-11-04,833.6,110.2,"River"
2011-11-05,NA,NA,"River"
2011-11-06,NA,NA,"River"
2011-11-07,NA,NA,"River"
2011-11-08,755.1,102.6,"River"
2011-11-09,589.5,207.6,"River"
2011-11-10,413.1,-87.2,"River"
2011-11-11,756.8,242,"River"
2011-11-12,630.4,217,"River"
2011-11-13,655,292.9,"River"
