"Date","Mercury","Lead","Location"
2018-09-18,650.6,249.1,"River"
2018-09-19,658.4,194.4,"River"
2018-09-20,741.1,158.6,"River"
2018-09-21,742.6,212.5,"River"
2018-09-22,709.8,242.1,"River"
2018-09-23,722.1,212.5,"River"
2018-09-24,NA,NA,"River"
2018-09-25,NA,NA,"River"
2018-09-26,526.2,289.4,"River"
2018-09-27,867.9,266.3,"River"
2018-09-28,619.1,268.8,"River"
2018-09-29,656.9,14.7,"River"
2018-09-30,694.8,238.6,"River"
2018-10-01,632.3,127.1,"River"
2018-10-02,720.7,108.6,"River"
2018-10-03,644,303.5,"River"
2018-10-04,687.4,192.4,"River"
2018-10-05,NA,NA,"River"
2018-10-06,726.8,249,"River"
2018-10-07,491.8,101,"River"
2018-10-08,373.3,288.3,"River"
2018-10-09,867.2,334.4,"River"
2018-10-10,487.3,258.8,"River"
2018-10-11,468.5,65,"River"
2018-10-12,NA,NA,"River"
2018-10-13,NA,NA,"River"
2018-10-14,NA,NA,"River"
2018-10-15,640.7,193,"River"
2018-10-16,574.3,247,"River"
2018-10-17,681.1,169.6,"River"
2018-10-18,627.2,324.8,"River"
2018-10-19,NA,NA,"River"
2018-10-20,NA,NA,"River"
2018-10-21,650.4,167.6,"River"
2018-10-22,567.2,179.1,"River"
2018-10-23,NA,NA,"River"
2018-10-24,NA,NA,"River"
2018-10-25,NA,NA,"River"
2018-10-26,585.7,233.3,"River"
2018-10-27,528.3,95.1,"River"
2018-10-28,NA,NA,"River"
2018-10-29,NA,NA,"River"
2018-10-30,713.6,224.1,"River"
2018-10-31,789.3,205.4,"River"
2018-11-01,NA,NA,"River"
2018-11-02,NA,NA,"River"
2018-11-03,580.7,337.4,"River"
2018-11-04,625.9,157.7,"River"
2018-11-05,817.3,156.5,"River"
2018-11-06,743.1,409.7,"River"
2018-11-07,674.9,366.3,"River"
2018-11-08,710.9,180.1,"River"
2018-11-09,576.2,342.5,"River"
2018-11-10,630.6,110.9,"River"
2018-11-11,619.3,93.7,"River"
2018-11-12,NA,NA,"River"
2018-11-13,580.4,254.4,"River"
2018-11-14,543.9,-3.7,"River"
2018-11-15,606.1,138.8,"River"
2018-11-16,NA,NA,"River"
2018-11-17,655.4,180.4,"River"
2018-11-18,NA,NA,"River"
2018-11-19,613.6,203.1,"River"
2018-11-20,NA,NA,"River"
2018-11-21,742.7,144.4,"River"
2018-11-22,NA,NA,"River"
2018-11-23,745.2,157.2,"River"
2018-11-24,586.3,316.8,"River"
2018-11-25,792.1,56.3,"River"
2018-11-26,641.2,152,"River"
2018-11-27,690.7,203.9,"River"
2018-11-28,683.6,-1.3,"River"
2018-11-29,NA,NA,"River"
2018-11-30,546.8,157.3,"River"
2018-12-01,NA,NA,"River"
2018-12-02,NA,NA,"River"
2018-12-03,564.9,135.1,"River"
2018-12-04,746.4,87.6,"River"
2018-12-05,NA,NA,"River"
2018-12-06,630.8,206.8,"River"
2018-12-07,769.3,299.8,"River"
2018-12-08,713.1,198.2,"River"
2018-12-09,658.5,264.1,"River"
2018-12-10,773.9,189.1,"River"
2018-12-11,NA,NA,"River"
2018-12-12,NA,NA,"River"
2018-12-13,NA,NA,"River"
2018-12-14,625.1,237.9,"River"
2018-12-15,598.7,181.5,"River"
2018-12-16,NA,NA,"River"
2018-12-17,887.5,288.7,"River"
2018-12-18,592.6,229.4,"River"
2018-12-19,719.3,349,"River"
2018-12-20,801.1,285,"River"
2018-12-21,699.1,129.8,"River"
2018-12-22,776.2,71.6,"River"
2018-12-23,505,250,"River"
2018-12-24,632.5,264.4,"River"
2018-12-25,731.4,205.5,"River"
2018-12-26,690.1,290.3,"River"
2018-12-27,608.7,369.3,"River"
2018-12-28,716.7,18.1,"River"
2018-12-29,NA,NA,"River"
2018-12-30,786.5,331.5,"River"
2018-12-31,612.7,207.1,"River"
2019-01-01,751.9,349.9,"River"
2019-01-02,666,176.1,"River"
2019-01-03,791,255.5,"River"
2019-01-04,690.1,92.9,"River"
2019-01-05,868.5,248.8,"River"
2019-01-06,844.8,258.5,"River"
2019-01-07,813.2,222.3,"River"
2019-01-08,758.9,220.3,"River"
2019-01-09,738.3,300.6,"River"
2019-01-10,NA,NA,"River"
2019-01-11,677.2,61.9,"River"
2019-01-12,NA,NA,"River"
2019-01-13,747,387.8,"River"
2019-01-14,NA,NA,"River"
2019-01-15,705.2,193,"River"
2019-01-16,NA,NA,"River"
2019-01-17,826.2,58.1,"River"
2019-01-18,NA,NA,"River"
2019-01-19,658.3,418.6,"River"
2019-01-20,NA,NA,"River"
2019-01-21,804.9,186.1,"River"
2019-01-22,NA,NA,"River"
2019-01-23,718.3,416.8,"River"
2019-01-24,875.3,256.2,"River"
2019-01-25,636.7,129.4,"River"
2019-01-26,NA,NA,"River"
2019-01-27,686.5,213.5,"River"
2019-01-28,882.4,164.7,"River"
2019-01-29,NA,NA,"River"
2019-01-30,706.2,169.7,"River"
2019-01-31,672.6,287.1,"River"
2019-02-01,653.9,181.1,"River"
2019-02-02,771.4,380.6,"River"
2019-02-03,712.7,323.6,"River"
2019-02-04,863,281.8,"River"
2019-02-05,581.4,174.9,"River"
2019-02-06,870.7,215.6,"River"
2019-02-07,640.1,101,"River"
2019-02-08,675.7,171.9,"River"
2019-02-09,675.5,197.6,"River"
2019-02-10,NA,NA,"River"
2019-02-11,914.1,101.6,"River"
2019-02-12,NA,NA,"River"
2019-02-13,NA,NA,"River"
2019-02-14,NA,NA,"River"
2019-02-15,705.9,417.8,"River"
2019-02-16,583.2,161.4,"River"
2019-02-17,650.3,214.7,"River"
2019-02-18,795.8,228.5,"River"
2019-02-19,741.8,339.2,"River"
2019-02-20,855.3,154.6,"River"
2019-02-21,657.4,410.4,"River"
2019-02-22,740.5,-5.9,"River"
2019-02-23,868.6,355.5,"River"
2019-02-24,550.8,212.8,"River"
2019-02-25,NA,NA,"River"
2019-02-26,718.3,218.2,"River"
2019-02-27,773.1,206.8,"River"
2019-02-28,709.3,171.4,"River"
2019-03-01,850.5,259.4,"River"
2019-03-02,792.7,331.4,"River"
2019-03-03,911.1,228.2,"River"
2019-03-04,NA,NA,"River"
2019-03-05,803.7,255.7,"River"
2019-03-06,695,310.1,"River"
2019-03-07,766.3,341.4,"River"
2019-03-08,NA,NA,"River"
2019-03-09,640.7,151.9,"River"
2019-03-10,NA,NA,"River"
2019-03-11,893.4,174.7,"River"
2019-03-12,698.8,192,"River"
2019-03-13,746.1,68.6,"River"
2019-03-14,560.1,34.5,"River"
2019-03-15,755.1,170.8,"River"
2019-03-16,713,358.2,"River"
2019-03-17,919.6,216.3,"River"
2019-03-18,NA,NA,"River"
2019-03-19,NA,NA,"River"
2019-03-20,776.1,159,"River"
2019-03-21,818.6,203.7,"River"
2019-03-22,828.6,155.8,"River"
2019-03-23,540.5,203.2,"River"
2019-03-24,835.9,123.8,"River"
2019-03-25,NA,NA,"River"
2019-03-26,827.5,297.1,"River"
2019-03-27,757.1,275.9,"River"
2019-03-28,755.3,324.5,"River"
2019-03-29,690.2,187.3,"River"
2019-03-30,529.8,274.3,"River"
2019-03-31,633.3,103.6,"River"
2019-04-01,742.4,313.3,"River"
2019-04-02,638,315.9,"River"
2019-04-03,682,80.1,"River"
2019-04-04,821.7,212.1,"River"
2019-04-05,814.1,158.7,"River"
