"Date","Mercury","Lead","Location"
2017-02-13,683.1,529.6,"Lake"
2017-02-14,NA,NA,"Lake"
2017-02-15,NA,NA,"Lake"
2017-02-16,710.9,437.7,"Lake"
2017-02-17,724.9,363.1,"Lake"
2017-02-18,619.4,277.6,"Lake"
2017-02-19,NA,NA,"Lake"
2017-02-20,729,459.8,"Lake"
2017-02-21,881.2,292,"Lake"
2017-02-22,556.2,589.9,"Lake"
2017-02-23,448.9,324.3,"Lake"
2017-02-24,625.6,526.5,"Lake"
2017-02-25,431.5,472.4,"Lake"
2017-02-26,NA,NA,"Lake"
2017-02-27,488.8,518.8,"Lake"
2017-02-28,571.2,411.8,"Lake"
2017-03-01,711.9,283.8,"Lake"
2017-03-02,NA,NA,"Lake"
2017-03-03,499.1,443.1,"Lake"
2017-03-04,647.8,381.3,"Lake"
2017-03-05,697.7,356.9,"Lake"
2017-03-06,777.3,469.9,"Lake"
2017-03-07,567.9,411.8,"Lake"
2017-03-08,705,441.9,"Lake"
2017-03-09,690.9,442.7,"Lake"
2017-03-10,568.3,586.8,"Lake"
2017-03-11,675.3,382.2,"Lake"
2017-03-12,NA,NA,"Lake"
2017-03-13,NA,NA,"Lake"
2017-03-14,663.5,364.9,"Lake"
2017-03-15,806.6,423,"Lake"
2017-03-16,641.9,389.9,"Lake"
2017-03-17,615.5,424.7,"Lake"
2017-03-18,NA,NA,"Lake"
2017-03-19,627.1,491.5,"Lake"
2017-03-20,453.9,347.1,"Lake"
2017-03-21,608,434.6,"Lake"
2017-03-22,617.7,291.1,"Lake"
2017-03-23,655.9,333.8,"Lake"
2017-03-24,578.9,486.5,"Lake"
2017-03-25,670.9,422.8,"Lake"
2017-03-26,616.7,401.8,"Lake"
2017-03-27,NA,NA,"Lake"
2017-03-28,NA,NA,"Lake"
2017-03-29,530.8,398.3,"Lake"
2017-03-30,684,575.7,"Lake"
2017-03-31,NA,NA,"Lake"
2017-04-01,586.5,354.4,"Lake"
2017-04-02,745.8,538.3,"Lake"
2017-04-03,661.7,391.1,"Lake"
2017-04-04,732,426.7,"Lake"
2017-04-05,468.9,440.9,"Lake"
2017-04-06,468.3,408.7,"Lake"
2017-04-07,561,574.6,"Lake"
2017-04-08,854.2,414.3,"Lake"
2017-04-09,774.8,368.2,"Lake"
2017-04-10,626.2,316.9,"Lake"
2017-04-11,888,614.5,"Lake"
2017-04-12,602.9,435.3,"Lake"
2017-04-13,740.1,333,"Lake"
2017-04-14,667.9,411.6,"Lake"
2017-04-15,802.6,462.2,"Lake"
2017-04-16,660.7,239.5,"Lake"
2017-04-17,753.5,261.7,"Lake"
2017-04-18,NA,NA,"Lake"
2017-04-19,613.6,448.2,"Lake"
2017-04-20,639.2,278.9,"Lake"
2017-04-21,NA,NA,"Lake"
2017-04-22,505.9,530.6,"Lake"
2017-04-23,590.9,716.1,"Lake"
2017-04-24,NA,NA,"Lake"
2017-04-25,642.3,345.1,"Lake"
2017-04-26,735,280.7,"Lake"
2017-04-27,685,485.3,"Lake"
2017-04-28,687,573,"Lake"
2017-04-29,760.4,523,"Lake"
2017-04-30,649.4,420.7,"Lake"
2017-05-01,621.6,278.1,"Lake"
2017-05-02,NA,NA,"Lake"
2017-05-03,NA,NA,"Lake"
2017-05-04,NA,NA,"Lake"
2017-05-05,NA,NA,"Lake"
2017-05-06,484.8,225.3,"Lake"
2017-05-07,417.3,446.4,"Lake"
2017-05-08,663.3,437.6,"Lake"
2017-05-09,694.5,436.8,"Lake"
2017-05-10,NA,NA,"Lake"
2017-05-11,531,272,"Lake"
2017-05-12,605.5,318.8,"Lake"
2017-05-13,NA,NA,"Lake"
2017-05-14,593.7,433.3,"Lake"
2017-05-15,622.2,417.2,"Lake"
2017-05-16,550.7,377.3,"Lake"
2017-05-17,638.1,376.9,"Lake"
2017-05-18,579.7,302.2,"Lake"
2017-05-19,546.2,369.4,"Lake"
2017-05-20,837.1,331.5,"Lake"
2017-05-21,600.2,478.4,"Lake"
2017-05-22,NA,NA,"Lake"
2017-05-23,420.4,477.8,"Lake"
2017-05-24,616.5,567.2,"Lake"
2017-05-25,533,388.4,"Lake"
2017-05-26,718.2,302.1,"Lake"
