"Date","Mercury","Lead","Location"
2020-05-28,724.3,588.1,"Lake"
2020-05-29,692.1,645.7,"Lake"
2020-05-30,664.5,461.1,"Lake"
2020-05-31,827.3,601.8,"Lake"
2020-06-01,544.4,610.3,"Lake"
2020-06-02,618.6,553.7,"Lake"
2020-06-03,568.8,526,"Lake"
2020-06-04,692.5,503,"Lake"
2020-06-05,824.6,698,"Lake"
2020-06-06,687,451,"Lake"
2020-06-07,945.5,626.7,"Lake"
2020-06-08,800.3,562.2,"Lake"
2020-06-09,775.7,453.8,"Lake"
2020-06-10,NA,NA,"Lake"
2020-06-11,NA,NA,"Lake"
2020-06-12,798.1,620,"Lake"
2020-06-13,791.2,547.4,"Lake"
2020-06-14,NA,NA,"Lake"
2020-06-15,773.6,573.6,"Lake"
2020-06-16,697.3,524.6,"Lake"
2020-06-17,731.1,521.5,"Lake"
2020-06-18,667.6,487.7,"Lake"
2020-06-19,656.5,569.5,"Lake"
2020-06-20,846.9,491.8,"Lake"
2020-06-21,555.3,570.6,"Lake"
2020-06-22,677.6,617.1,"Lake"
2020-06-23,493.9,397,"Lake"
2020-06-24,743.3,532.4,"Lake"
2020-06-25,705.8,607.6,"Lake"
2020-06-26,781.4,573.7,"Lake"
2020-06-27,811.6,455.7,"Lake"
2020-06-28,766.6,617.2,"Lake"
2020-06-29,715.2,573.7,"Lake"
2020-06-30,NA,NA,"Lake"
2020-07-01,589.4,615.2,"Lake"
2020-07-02,552.5,490.7,"Lake"
2020-07-03,678.8,646.6,"Lake"
2020-07-04,579.3,539.6,"Lake"
2020-07-05,761.1,634.3,"Lake"
2020-07-06,NA,NA,"Lake"
2020-07-07,711.2,546.8,"Lake"
2020-07-08,NA,NA,"Lake"
2020-07-09,745,406.6,"Lake"
2020-07-10,754.5,311.4,"Lake"
2020-07-11,650.9,399.4,"Lake"
2020-07-12,543.7,590.6,"Lake"
2020-07-13,NA,NA,"Lake"
2020-07-14,693.1,315.7,"Lake"
2020-07-15,580.4,801.1,"Lake"
2020-07-16,663.2,611.5,"Lake"
2020-07-17,654.8,606.2,"Lake"
2020-07-18,727.3,573.3,"Lake"
2020-07-19,610.5,708.2,"Lake"
2020-07-20,693.1,555.7,"Lake"
2020-07-21,NA,NA,"Lake"
2020-07-22,644,590.2,"Lake"
2020-07-23,555.2,521.6,"Lake"
2020-07-24,593.7,491.5,"Lake"
2020-07-25,NA,NA,"Lake"
2020-07-26,607.9,572.9,"Lake"
2020-07-27,511.7,422.2,"Lake"
2020-07-28,637.8,532.9,"Lake"
2020-07-29,638.2,462.5,"Lake"
2020-07-30,643.9,590.8,"Lake"
2020-07-31,NA,NA,"Lake"
2020-08-01,689.2,678.1,"Lake"
2020-08-02,659,494.4,"Lake"
2020-08-03,528.8,368.7,"Lake"
2020-08-04,600.4,560.9,"Lake"
2020-08-05,743.3,470.9,"Lake"
2020-08-06,NA,NA,"Lake"
2020-08-07,537.2,613.7,"Lake"
2020-08-08,678,573.4,"Lake"
2020-08-09,679,808.8,"Lake"
2020-08-10,629.1,584.5,"Lake"
2020-08-11,NA,NA,"Lake"
2020-08-12,723.3,480.5,"Lake"
2020-08-13,647.8,560.5,"Lake"
2020-08-14,795.4,661.9,"Lake"
2020-08-15,604.4,650.5,"Lake"
2020-08-16,NA,NA,"Lake"
2020-08-17,862.4,521.5,"Lake"
2020-08-18,547.3,582.5,"Lake"
2020-08-19,NA,NA,"Lake"
2020-08-20,861.2,529,"Lake"
2020-08-21,NA,NA,"Lake"
2020-08-22,549.1,732.4,"Lake"
2020-08-23,NA,NA,"Lake"
